Date,Open,High,Low,Close,Volume
11-Jul-17,54.76,55.35,54.59,55.25,10200759
10-Jul-17,54.28,54.98,54.27,54.80,4164390
7-Jul-17,54.65,54.91,54.31,54.55,2776117
6-Jul-17,55.05,55.20,54.41,54.53,5978306
5-Jul-17,54.50,55.84,54.23,55.62,8817551
3-Jul-17,55.08,55.25,54.04,54.45,4559540
30-Jun-17,54.33,54.73,54.08,54.48,8826060
29-Jun-17,54.49,54.92,53.13,54.30,11962959
28-Jun-17,54.09,55.10,53.76,54.95,14675936
27-Jun-17,54.44,54.73,53.53,53.64,17023615
26-Jun-17,55.38,55.60,53.97,54.31,22718129
23-Jun-17,54.49,54.99,54.45,54.73,13065566
22-Jun-17,54.75,55.45,54.42,54.56,17258904
21-Jun-17,53.94,55.17,53.89,55.09,28731684
20-Jun-17,54.54,54.90,53.79,53.81,47512882
19-Jun-17,54.00,55.03,53.80,54.46,39430343
16-Jun-17,52.79,53.30,51.90,52.58,269377149
15-Jun-17,52.17,52.76,51.64,52.58,72688419
14-Jun-17,52.42,54.26,52.16,52.63,72068964
13-Jun-17,53.65,54.08,52.00,52.00,157375730
12-Jun-17,53.79,54.55,52.60,53.12,57753270
9-Jun-17,56.16,57.39,53.66,54.02,74186692
8-Jun-17,55.35,55.94,53.49,55.71,75397854
7-Jun-17,50.47,50.72,50.28,50.55,25993519
6-Jun-17,50.42,50.76,50.30,50.50,27315854
5-Jun-17,50.52,50.88,50.40,50.60,16600752
2-Jun-17,50.53,50.75,50.31,50.60,9857195
1-Jun-17,50.49,50.70,50.07,50.65,7776690
31-May-17,50.60,50.65,49.96,50.32,8750770
30-May-17,50.67,50.94,50.50,50.56,8400168
26-May-17,50.50,50.74,50.32,50.67,6049533
25-May-17,50.48,50.75,50.05,50.60,11961672
24-May-17,50.18,50.59,49.90,50.32,12238852
23-May-17,50.44,50.90,50.26,50.31,7342030
22-May-17,50.51,51.08,50.22,50.65,9696647
19-May-17,50.03,51.23,50.01,50.18,11181962
18-May-17,48.68,50.03,47.74,49.63,13737509
17-May-17,50.70,50.70,49.44,49.65,20954125
16-May-17,50.05,51.12,50.03,50.96,19423578
15-May-17,49.71,49.94,49.48,49.86,9129285
12-May-17,49.75,49.75,49.44,49.65,6185780
11-May-17,49.45,49.71,49.14,49.69,6142929
10-May-17,49.40,49.60,49.14,49.40,8360446
9-May-17,49.14,49.67,48.94,49.49,10279065
8-May-17,48.71,48.96,48.51,48.85,10059557
5-May-17,48.45,48.66,48.27,48.49,7835467
4-May-17,48.63,48.68,48.16,48.45,6208893
3-May-17,49.19,49.19,48.17,48.54,4702411
2-May-17,48.72,49.30,48.72,49.09,6106265
1-May-17,48.22,48.78,48.12,48.61,6386542
28-Apr-17,48.45,48.50,48.16,48.21,4925538
27-Apr-17,48.08,48.47,48.02,48.36,10635392
26-Apr-17,48.40,48.47,48.17,48.26,4053137
25-Apr-17,48.29,48.46,48.16,48.40,10288234
24-Apr-17,47.89,48.20,47.75,48.15,9860363
21-Apr-17,47.73,47.77,47.37,47.52,7054995
20-Apr-17,47.25,47.84,47.07,47.67,10925101
19-Apr-17,47.60,47.88,46.92,47.00,12179541
18-Apr-17,47.25,47.74,47.14,47.56,9341939
17-Apr-17,47.02,47.42,46.92,47.39,3857065
13-Apr-17,46.85,47.11,46.61,46.90,3762132
12-Apr-17,46.80,47.16,46.67,46.83,5127330
11-Apr-17,47.03,47.21,46.42,46.79,5593867
10-Apr-17,46.49,47.42,46.40,47.21,7818042
7-Apr-17,46.23,46.53,45.96,46.44,4629814
6-Apr-17,46.38,46.43,46.04,46.28,4124602
5-Apr-17,46.41,46.92,46.24,46.38,4840299
4-Apr-17,46.30,46.47,46.12,46.23,4758401
3-Apr-17,46.50,46.85,46.16,46.43,7675378
31-Mar-17,46.52,46.70,46.27,46.41,7814123
30-Mar-17,46.80,47.04,46.60,46.62,3449091
29-Mar-17,46.52,46.84,46.30,46.78,4403402
28-Mar-17,46.33,46.76,46.24,46.57,4630801
27-Mar-17,45.92,46.48,45.74,46.40,6016624
24-Mar-17,46.65,46.86,46.14,46.40,5607667
23-Mar-17,46.13,46.78,46.09,46.60,8297815
22-Mar-17,45.61,46.14,45.60,46.06,6773395
21-Mar-17,47.00,47.19,45.68,45.77,6469439
20-Mar-17,46.62,47.16,46.52,46.77,5822991
17-Mar-17,46.73,46.90,46.50,46.59,6192404
16-Mar-17,46.60,46.62,46.30,46.61,3627081
15-Mar-17,46.55,46.55,45.90,46.29,6279298
14-Mar-17,46.41,46.76,46.19,46.37,3800294
13-Mar-17,46.10,47.00,46.10,46.57,4702990
10-Mar-17,46.20,46.20,45.75,45.98,3824529
9-Mar-17,45.87,46.12,45.68,45.94,3767567
8-Mar-17,45.85,46.19,45.73,45.98,3331722
7-Mar-17,45.50,45.92,45.49,45.73,5116841
6-Mar-17,45.61,45.69,45.39,45.64,6694863
3-Mar-17,45.88,46.00,45.60,45.91,6758310
2-Mar-17,46.02,46.13,45.62,45.94,7017056
1-Mar-17,45.89,46.41,45.89,46.24,7258451
28-Feb-17,45.57,45.75,45.25,45.66,7201973
27-Feb-17,45.45,45.74,45.24,45.71,4006922
24-Feb-17,45.14,45.55,44.95,45.55,3714785
23-Feb-17,46.04,46.14,45.29,45.41,7812053
22-Feb-17,45.47,46.34,45.45,45.98,7730221
21-Feb-17,45.22,45.61,45.10,45.50,8115953
17-Feb-17,44.95,45.34,44.79,45.10,9417191
16-Feb-17,45.65,45.69,45.01,45.16,8972022
15-Feb-17,45.03,46.72,44.64,45.65,22509206
14-Feb-17,45.38,45.58,44.90,45.02,6676842
13-Feb-17,45.08,45.57,44.94,45.46,7491311
10-Feb-17,45.15,45.23,44.96,45.03,4158744
9-Feb-17,44.95,45.24,44.82,45.08,3769280
8-Feb-17,44.50,45.19,44.34,45.07,6531000
7-Feb-17,44.43,44.59,44.19,44.37,4445846
6-Feb-17,43.62,44.53,43.56,44.42,7308775
3-Feb-17,43.90,43.99,43.66,43.71,6422438
2-Feb-17,43.63,44.00,43.58,43.69,5065117
1-Feb-17,44.25,44.26,43.71,43.78,5307216
31-Jan-17,43.78,44.15,43.67,44.07,5153697
30-Jan-17,44.22,44.22,43.70,43.93,6906121
27-Jan-17,44.54,44.71,44.23,44.42,4943138
26-Jan-17,44.83,45.08,44.40,44.55,9974613
25-Jan-17,44.11,45.00,44.09,44.94,14388287
24-Jan-17,43.65,44.22,43.43,43.90,24933488
23-Jan-17,41.95,42.45,41.84,42.40,13662837
20-Jan-17,42.33,42.54,41.86,42.05,5511713
19-Jan-17,42.05,42.19,41.90,42.09,6005615
18-Jan-17,42.15,42.15,41.80,42.03,3594963
17-Jan-17,42.06,42.18,41.84,41.99,4779009
13-Jan-17,42.11,42.46,42.02,42.27,4513026
12-Jan-17,42.34,42.46,41.70,42.11,6024900
11-Jan-17,42.27,42.59,42.07,42.59,6946237
10-Jan-17,41.89,42.37,41.54,42.30,8111079
