Date,Open,High,Low,Close,Volume
11-Jul-17,70.11,70.68,69.75,69.99,17460022
10-Jul-17,69.46,70.25,69.20,69.98,15014503
7-Jul-17,68.70,69.84,68.70,69.46,16878317
6-Jul-17,68.27,68.78,68.12,68.57,21117572
5-Jul-17,68.26,69.44,68.22,69.08,21176272
3-Jul-17,69.33,69.60,68.02,68.17,16165538
30-Jun-17,68.78,69.38,68.74,68.93,24161068
29-Jun-17,69.38,69.49,68.09,68.49,28918715
28-Jun-17,69.21,69.84,68.79,69.80,25806200
27-Jun-17,70.11,70.18,69.18,69.21,25215128
26-Jun-17,71.40,71.71,70.44,70.53,19606974
23-Jun-17,70.09,71.25,69.92,71.21,27617291
22-Jun-17,70.54,70.59,69.71,70.26,22965738
21-Jun-17,70.21,70.62,69.94,70.27,19891051
20-Jun-17,70.82,70.87,69.87,69.91,21512231
19-Jun-17,70.50,70.94,70.35,70.87,23798268
16-Jun-17,69.73,70.03,69.22,70.00,48345085
15-Jun-17,69.27,70.21,68.80,69.90,26068709
14-Jun-17,70.91,71.10,69.43,70.27,25510685
13-Jun-17,70.02,70.82,69.96,70.65,25258614
12-Jun-17,69.25,69.94,68.13,69.78,47761743
9-Jun-17,72.04,72.08,68.59,70.32,49187396
8-Jun-17,72.51,72.52,71.50,71.95,24588270
7-Jun-17,72.64,72.77,71.95,72.39,22301765
6-Jun-17,72.30,72.62,72.27,72.52,31511065
5-Jun-17,71.97,72.89,71.81,72.28,33316760
2-Jun-17,70.44,71.86,70.24,71.76,34770261
1-Jun-17,70.24,70.61,69.45,70.10,21603601
31-May-17,70.53,70.74,69.81,69.84,30436364
30-May-17,69.79,70.41,69.77,70.41,17072838
26-May-17,69.80,70.22,69.52,69.96,19827923
25-May-17,68.97,69.88,68.91,69.62,21854095
24-May-17,68.87,68.88,68.45,68.77,14666865
23-May-17,68.72,68.75,68.38,68.68,15425824
22-May-17,67.89,68.50,67.50,68.45,16237550
19-May-17,67.50,68.10,67.43,67.69,26961119
18-May-17,67.40,68.13,67.14,67.71,25201274
17-May-17,68.89,69.10,67.43,67.48,30548781
16-May-17,68.23,69.44,68.16,69.41,34956038
15-May-17,68.14,68.48,67.57,68.43,31530301
12-May-17,68.61,68.61,68.04,68.38,18714123
11-May-17,68.36,68.73,68.12,68.46,28789413
10-May-17,68.99,69.56,68.92,69.31,17977830
9-May-17,68.86,69.28,68.68,69.04,22858414
8-May-17,68.97,69.05,68.42,68.94,18566087
5-May-17,68.90,69.03,68.48,69.00,19128782
4-May-17,69.03,69.08,68.64,68.81,21749409
3-May-17,69.38,69.38,68.71,69.08,28927973
2-May-17,69.71,69.71,69.13,69.30,23906119
1-May-17,68.68,69.55,68.50,69.41,31954362
28-Apr-17,68.91,69.14,67.69,68.46,39548818
27-Apr-17,68.15,68.38,67.58,68.27,34970953
26-Apr-17,68.08,68.31,67.62,67.83,26190770
25-Apr-17,67.90,68.04,67.60,67.92,30242730
24-Apr-17,67.48,67.66,67.10,67.53,29769976
21-Apr-17,65.67,66.70,65.45,66.40,32522645
20-Apr-17,65.46,65.75,65.14,65.50,22299477
19-Apr-17,65.65,65.75,64.89,65.04,26992771
18-Apr-17,65.33,65.71,65.16,65.39,15155611
17-Apr-17,65.04,65.49,65.01,65.48,16689265
13-Apr-17,65.29,65.86,64.95,64.95,17896483
12-Apr-17,65.42,65.51,65.11,65.23,17108513
11-Apr-17,65.60,65.61,64.85,65.48,18791533
10-Apr-17,65.61,65.82,65.36,65.53,17952742
7-Apr-17,65.85,65.96,65.44,65.68,14108533
6-Apr-17,65.60,66.06,65.48,65.73,18103453
5-Apr-17,66.30,66.35,65.44,65.56,21448594
4-Apr-17,65.39,65.81,65.28,65.73,12997449
3-Apr-17,65.81,65.94,65.19,65.55,20400871
31-Mar-17,65.65,66.19,65.45,65.86,21040331
30-Mar-17,65.42,65.98,65.36,65.71,15122823
29-Mar-17,65.12,65.50,64.95,65.47,13618424
28-Mar-17,64.96,65.47,64.65,65.29,20080358
27-Mar-17,64.63,65.22,64.35,65.10,18614662
24-Mar-17,65.36,65.45,64.76,64.98,22617105
23-Mar-17,64.94,65.24,64.76,64.87,19269203
22-Mar-17,64.12,65.14,64.12,65.03,20680015
21-Mar-17,65.19,65.50,64.13,64.21,26640480
20-Mar-17,64.91,65.18,64.72,64.93,14598083
17-Mar-17,64.91,65.24,64.68,64.87,49219686
16-Mar-17,64.75,64.76,64.30,64.64,20674296
15-Mar-17,64.55,64.92,64.25,64.75,24833810
14-Mar-17,64.53,64.55,64.15,64.41,14280202
13-Mar-17,65.01,65.20,64.57,64.71,20100035
10-Mar-17,65.11,65.26,64.75,64.93,19538245
9-Mar-17,65.19,65.20,64.48,64.73,19846832
8-Mar-17,64.26,65.08,64.25,64.99,21510907
7-Mar-17,64.19,64.78,64.19,64.40,18520987
6-Mar-17,63.97,64.56,63.81,64.27,18750255
3-Mar-17,63.99,64.28,63.62,64.25,18139405
2-Mar-17,64.69,64.75,63.88,64.01,24539597
1-Mar-17,64.13,64.99,64.02,64.94,26937459
28-Feb-17,64.08,64.20,63.76,63.98,23239825
27-Feb-17,64.54,64.54,64.04,64.23,15871507
24-Feb-17,64.53,64.80,64.14,64.62,21796800
23-Feb-17,64.42,64.73,64.20,64.62,20273128
22-Feb-17,64.33,64.39,64.05,64.36,19292651
21-Feb-17,64.61,64.95,64.45,64.49,20655869
17-Feb-17,64.47,64.69,64.30,64.62,21248818
16-Feb-17,64.74,65.24,64.44,64.52,20546345
15-Feb-17,64.50,64.57,64.16,64.53,17005157
14-Feb-17,64.41,64.72,64.02,64.57,23108426
13-Feb-17,64.24,64.86,64.13,64.72,22920101
